품사,단어,합계,0. 序幕 — 問 하늘에 묻다_v99,1. 공리_v99,2. 허실_v99,3. 극한과 무한_v99,4. 곡률_v99,5. 대칭_v99,6. 불완전성_v99,7. 운동_v99,8. 장_v99,9. 동시성_v99,10. 휨_v99,11. 엔트로피_v99,12. 혼돈_v99,13. 양자_v99,14. 파동과 확률_v99,15. 불확정성_v99,16. 경로_v99,17. 얽힘_v99,18. 측정_v99,19. 깨짐_v99,20. 입자_v99,21. 빅뱅_v99,22. 암흑_v99,23. 초끈_v99,24. 다중우주_v99,25. 원자_v99,26. 결합_v99,27. 문턱_v99,28. 핵_v99,29. 세포_v99,30. 진화_v99,31. 뇌_v99,32. 의식_v99,33. 정보_v99,34. 계산_v99,35. 인공지능_v99,36. 양자계산_v99,37. 시간_v99,38. 실재_v99,39. 인식_v99,40. 의지_v99,41. 이성_v99,42. 해체_v99,43. 경계_v99,44. 침묵_v99,45. 음계_v99,46. 산조_v99,47. 시_v99,48. 비극_v99,49. 미술_v99,50. 건축_v99,51. 우주_v99,52. 공존_v99,53. 인간_v99,"54. 終幕 — 答 다시, 하늘에 묻다_v99"
연결어미,라,167,0,3,2,1,5,2,1,0,2,0,2,3,3,3,1,3,3,3,4,1,6,7,7,10,6,4,4,4,2,4,2,5,3,5,5,1,6,2,6,1,4,1,1,5,4,4,2,0,3,3,3,3,1,0,1
일반명사,우주,166,3,3,4,0,2,2,0,5,1,3,3,4,1,1,0,1,3,2,1,7,2,27,17,5,39,0,2,1,0,1,0,0,0,0,0,1,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,12,4,1,0
대명사,우리,162,0,1,3,1,3,3,3,0,1,1,3,5,1,3,1,4,3,2,3,1,4,5,4,7,12,1,4,3,5,1,1,6,0,0,0,2,4,7,5,5,3,1,3,3,1,3,4,1,1,9,1,5,3,4,2
연결어미,면,156,0,3,1,1,3,3,1,5,4,3,7,3,5,9,3,4,4,2,4,3,1,2,2,0,2,1,4,3,3,4,3,1,4,2,5,6,2,1,2,1,1,2,4,4,0,4,3,0,3,3,7,1,4,3,0
동사,있,154,3,1,3,2,3,2,1,5,1,0,3,4,4,1,3,4,2,3,1,1,4,4,1,4,5,5,5,5,0,4,5,2,6,2,9,1,2,4,10,4,0,2,0,4,0,1,1,1,6,2,1,2,0,2,3
일반부사,더,132,1,1,3,8,3,3,5,2,1,3,4,6,5,2,1,4,2,0,2,1,5,7,2,6,3,2,4,3,5,0,5,1,0,3,4,1,2,1,2,1,0,3,1,3,0,0,3,3,1,0,0,2,1,0,1
보조사,만,132,0,0,2,3,3,1,4,2,3,4,0,2,1,4,9,1,13,1,2,1,2,1,4,3,6,1,4,2,0,6,1,2,2,2,2,2,13,4,1,1,0,2,1,0,0,0,3,3,0,3,0,1,0,4,0
보조용언,하,131,1,3,0,3,3,2,3,2,3,6,2,2,1,8,1,5,2,1,3,0,4,3,4,2,3,3,1,3,2,3,1,1,1,3,0,5,2,1,4,2,2,2,1,1,5,1,3,0,5,2,1,3,3,3,0
동사,되,131,0,2,6,2,2,4,7,1,2,5,4,1,3,4,2,0,2,2,1,2,5,1,2,4,0,1,4,1,4,5,4,1,3,1,1,0,1,1,4,3,1,2,1,4,4,0,1,0,3,3,4,3,1,4,2
관형사,한,129,1,3,2,1,3,2,2,4,1,1,2,7,2,2,5,4,3,5,0,2,4,3,0,4,0,1,1,3,3,2,4,2,0,1,0,0,5,8,2,3,1,0,2,0,0,4,6,3,5,4,1,1,3,1,0
관형사형어미,던,128,1,3,6,2,2,4,2,3,7,1,1,2,1,2,3,0,1,1,2,7,0,6,3,4,1,2,3,7,2,1,6,3,2,3,0,3,3,1,3,0,1,1,2,2,3,0,0,2,1,2,0,2,5,2,1
