어휘,품사,전체 빈도
곡률,일반명사,7
이야기,일반명사,7
시절,일반명사,7
특별,일반명사,7
기본,일반명사,7
마지막,일반명사,7
책,일반명사,7
선언,일반명사,7
줄이,동사,7
배,일반명사,7
갈라지,동사,7
바다,일반명사,7
상수,일반명사,7
수행,일반명사,7
느리,형용사,7
도시,일반명사,7
아무것,일반명사,7
배경,일반명사,7
일치,일반명사,7
정체,일반명사,7
시대,일반명사,7
오늘날,일반명사,7
기존,일반명사,7
비추,동사,7
놓,동사,7
걸리,동사,7
쌓이,동사,7
두,동사,7
겹치,동사,7
유일,일반명사,7
파인,일반명사,7
묶이,동사,7
광자,일반명사,7
붕괴,일반명사,7
틀,일반명사,7
도,일반명사,7
마주하,동사,7
포기,일반명사,7
힉스,고유명사,7
모델,일반명사,7
파편,일반명사,7
인공,일반명사,7
멘델레예프,고유명사,7
건물,일반명사,7
프로그램,일반명사,7
예언자,일반명사,7
해체,일반명사,7
전통,일반명사,7
유클리드,고유명사,6
부분,일반명사,6
버티,동사,6
개별,일반명사,6
진리,일반명사,6
평행선,일반명사,6
뿌리,일반명사,6
의심,일반명사,6
그림자,일반명사,6
세,동사,6
발명,일반명사,6
음수,일반명사,6
훗날,일반명사,6
의하,동사,6
정면,일반명사,6
가치,일반명사,6
오가,동사,6
개념,일반명사,6
거북,일반명사,6
범위,일반명사,6
번역,일반명사,6
도,동사,6
돌,동사,6
공식,일반명사,6
풀리,동사,6
배치,일반명사,6
추적,일반명사,6
적,동사,6
무대,일반명사,6
오늘,일반명사,6
발생,일반명사,6
지표면,일반명사,6
빌리,동사,6
판정,일반명사,6
겪,동사,6
효율,일반명사,6
식,동사,6
방,일반명사,6
거부,일반명사,6
논쟁,일반명사,6
압도,일반명사,6
바람,일반명사,6
일정,일반명사,6
경향,일반명사,6
개체,일반명사,6
수렴,일반명사,6
패턴,일반명사,6
심장,일반명사,6
맥스웰,고유명사,6
택하,동사,6
내리,동사,6
쏘,동사,6
기준,일반명사,6
본래,일반명사,6
밝히,동사,6
금속,일반명사,6
통신,일반명사,6
문명,일반명사,6
주인공,일반명사,6
이루어지,동사,6
지상,일반명사,6
현재,일반명사,6
개입,일반명사,6
예언,일반명사,6
좋,형용사,6
역동,일반명사,6
수소,일반명사,6
허용,일반명사,6
보어,고유명사,6
해석,일반명사,6
구멍,일반명사,6
화면,일반명사,6
고요,일반명사,6
고유,일반명사,6
신발,일반명사,6
피하,동사,6
풀,동사,6
공존,일반명사,6
깊이,일반명사,6
정답,일반명사,6
규모,일반명사,6
결과물,일반명사,6
역사,일반명사,6
생겨나,동사,6
지키,동사,6
칸,일반명사,6
소금,일반명사,6
저장,일반명사,6
껍질,일반명사,6
흔들,동사,6
쪼개,동사,6
숲,일반명사,6
실리콘,일반명사,6
신경,일반명사,6
안쪽,일반명사,6
고통,일반명사,6
뉴런,일반명사,6
계시,일반명사,6
처마,일반명사,6
독자,일반명사,6
원,일반명사,5
일반,일반명사,5
여기,동사,5
잡히,동사,5
적,형용사,5
수치,일반명사,5
마주치,동사,5
중간,일반명사,5
곡면,일반명사,5
도착,일반명사,5
실,일반명사,5
아킬레스,고유명사,5
앞서,동사,5
출발점,일반명사,5
걸음,일반명사,5
지,일반명사,5
윤곽,일반명사,5
극한,일반명사,5
입력,일반명사,5
완결,일반명사,5
발상,일반명사,5
내용,일반명사,5
확신,일반명사,5
정렬,일반명사,5
결함,일반명사,5
하루,일반명사,5
어제,일반명사,5
편지,일반명사,5
마찬가지,일반명사,5
통찰,일반명사,5
구별,일반명사,5
수평,일반명사,5
각도,일반명사,5
수축,일반명사,5
관점,일반명사,5
엄청나,형용사,5
왼쪽,일반명사,5
비례,일반명사,5
열역학,일반명사,5
창조,일반명사,5
치,동사,5
돌아가,동사,5
날개,일반명사,5
비율,일반명사,5
줄,동사,5
모두,일반명사,5
우주선,일반명사,5
진행,일반명사,5
단일,일반명사,5
통합,일반명사,5
늘,동사,5
끌어당기,동사,5
패러데이,고유명사,5
허공,일반명사,5
가로지르,동사,5
옆,일반명사,5
위성,일반명사,5
밀,동사,5
근원,일반명사,5
당기,동사,5
소멸,일반명사,5
바탕,일반명사,5
연결,일반명사,5
성공,일반명사,5
판,일반명사,5
어둠,일반명사,5
제안,일반명사,5
밤하늘,일반명사,5
찾아내,동사,5
수수께끼,일반명사,5
고르,동사,5
쏟아지,동사,5
응답,일반명사,5
거칠,형용사,5
해결,일반명사,5
진공,일반명사,5
중요,일반명사,5
고양이,일반명사,5
오른쪽,일반명사,5
환원,일반명사,5
자극,일반명사,5
들어서,동사,5
형성,일반명사,5
인플레이션,일반명사,5
제시,일반명사,5
빚어내,동사,5
애쓰,동사,5
빅뱅,일반명사,5
나이,일반명사,5
신화,일반명사,5
합치,동사,5
보통,일반명사,5
표,일반명사,5
차,동사,5
발,일반명사,5
세대,일반명사,5
어리,형용사,5
사슬,일반명사,5
산소,일반명사,5
대가,일반명사,5
순서,일반명사,5
에카,고유명사,5
인과,일반명사,5
내일,일반명사,5
다가오,동사,5
붓다,고유명사,5
서양,일반명사,5
도덕,일반명사,5
조직,일반명사,5
공백,일반명사,5
농,일반명사,5
현,일반명사,5
조성,일반명사,5
한옥,일반명사,5
두보,고유명사,5
피타고라스,고유명사,4
차례,일반명사,4
공준,일반명사,4
유한,일반명사,4
벌어지,동사,4
시도,일반명사,4
부정,일반명사,4
둥글,형용사,4
면,일반명사,4
자라나,동사,4
겹쳐지,동사,4
빚,일반명사,4
한동안,일반명사,4
불편,일반명사,4
제곱,일반명사,4
근본,일반명사,4
빛나,동사,4
북극,고유명사,4
기다리,동사,4
