어휘,품사,전체 빈도
승인,일반명사,1
마르틴,고유명사,1
하이데거,고유명사,1
형질,일반명사,1
끌어안,동사,1
폴,고유명사,1
사르트르,고유명사,1
일종,일반명사,1
선고,일반명사,1
어쩌,동사,1
변명,일반명사,1
기만,일반명사,1
책임지,동사,1
인과율,일반명사,1
굴러가,동사,1
직조,일반명사,1
대학교,일반명사,1
아르바이트,일반명사,1
털,동사,1
전집,일반명사,1
손때,일반명사,1
중고,일반명사,1
책방,일반명사,1
넘어가,동사,1
뇌리,일반명사,1
힐러리,고유명사,1
퍼트넘,고유명사,1
미치,동사,1
손등,일반명사,1
야경,일반명사,1
다가서,동사,1
가려지,동사,1
상,일반명사,1
가시광선,일반명사,1
푸르르,형용사,1
속이,동사,1
주춧돌,일반명사,1
물건,일반명사,1
전개,일반명사,1
잠정,일반명사,1
전도,일반명사,1
물리치,동사,1
소급,일반명사,1
말뚝,일반명사,1
귀납,일반명사,1
추측,일반명사,1
연역,일반명사,1
서구,고유명사,1
서구,일반명사,1
수신,일반명사,1
권위,일반명사,1
성장,일반명사,1
인권,일반명사,1
부재,일반명사,1
봉착,일반명사,1
동아시아,고유명사,1
유교,일반명사,1
초월자,일반명사,1
솟아나,동사,1
공자,고유명사,1
귀신,일반명사,1
논하,동사,1
맹자,고유명사,1
선하,형용사,1
측은지심,일반명사,1
주자,고유명사,1
리,일반명사,1
끊임없,형용사,1
수양,일반명사,1
궁리,일반명사,1
출처,일반명사,1
인의,일반명사,1
실천,일반명사,1
쥐,동사,1
대학,일반명사,1
오전,일반명사,1
다니,동사,1
가르치,동사,1
강의실,일반명사,1
진공묘유,일반명사,1
잠잠하,형용사,1
풍기,동사,1
잠재,일반명사,1
매이,동사,1
개방,일반명사,1
진공묘유,고유명사,1
피어나,동사,1
허무,일반명사,1
표지판,일반명사,1
석,일반명사,1
참여,일반명사,1
목격자,일반명사,1
내다보,동사,1
주제,일반명사,1
생동,일반명사,1
진심,일반명사,1
관측자,일반명사,1
지니,동사,1
조지,고유명사,1
에른스트 마흐,고유명사,1
마흐,고유명사,1
정독,일반명사,1
마흐,일반명사,1
제목,일반명사,1
물음표,일반명사,1
논지,일반명사,1
실현,일반명사,1
다세계,일반명사,1
예감,일반명사,1
가야금,일반명사,1
손목,일반명사,1
가늘,형용사,1
여운,일반명사,1
몸짓,일반명사,1
장력,일반명사,1
손끝,일반명사,1
압력,일반명사,1
분할,일반명사,1
들이쉬,동사,1
내쉬,동사,1
진양,고유명사,1
조,일반명사,1
중,일반명사,1
자진,일반명사,1
휘모리,고유명사,1
이완,일반명사,1
태엽,일반명사,1
구간,일반명사,1
미끄러지,동사,1
흩,동사,1
비브라토,고유명사,1
루바토,고유명사,1
박,고유명사,1
앞당기,동사,1
박,동사,1
기준점,일반명사,1
닻,일반명사,1
방황,일반명사,1
걸음걸이,일반명사,1
건강,일반명사,1
음정,일반명사,1
남태평양,고유명사,1
야자수,일반명사,1
박경리,고유명사,1
소설,일반명사,1
증가,일반명사,1
가역,일반명사,1
비참,일반명사,1
몰아넣,동사,1
발길,일반명사,1
내려지,동사,1
압박,일반명사,1
필사,일반명사,1
망설이,동사,1
미루,동사,1
한말,일반명사,1
광복,일반명사,1
격변,일반명사,1
사랑,일반명사,1
잃어버리,동사,1
최서희,고유명사,1
빼앗기,동사,1
가문,일반명사,1
명예,일반명사,1
되찾,동사,1
증오,일반명사,1
동력,일반명사,1
한평생,일반명사,1
길상,일반명사,1
민족,일반명사,1
대의,일반명사,1
가족,일반명사,1
몰락,일반명사,1
상실,일반명사,1
제때,일반명사,1
탐독,일반명사,1
카타르시스,일반명사,1
돌려놓,동사,1
패배,일반명사,1
파멸,일반명사,1
예정,일반명사,1
르네상스,일반명사,1
베끼,동사,1
화폭,일반명사,1
재현,일반명사,1
사실주의,일반명사,1
테두리,일반명사,1
재단,일반명사,1
길들이,동사,1
접어들,동사,1
녹아내리,동사,1
클로드,고유명사,1
모네,고유명사,1
강가,일반명사,1
노을,일반명사,1
돌덩어리,일반명사,1
인상,일반명사,1
파블로,고유명사,1
피카소,고유명사,1
옆모습,일반명사,1
앞모습,일반명사,1
만돌린과,고유명사,1
악보,일반명사,1
부서지,동사,1
게으르,형용사,1
입체파,고유명사,1
한순간,일반명사,1
한국,고유명사,1
미학,일반명사,1
붓,일반명사,1
거닐,동사,1
산길,일반명사,1
한눈,일반명사,1
환기,일반명사,1
퉁기,동사,1
흥미,일반명사,1
기분,일반명사,1
변덕,일반명사,1
정수비,일반명사,1
마루,일반명사,1
골,일반명사,1
5도,일반명사,1
동양,일반명사,1
대나무,일반명사,1
관,일반명사,1
삼분손일법,일반명사,1
콤마,고유명사,1
반음,고유명사,1
불협화음,일반명사,1
띄,동사,1
평균율,고유명사,1
순도,일반명사,1
요한,고유명사,1
제바스티안,고유명사,1
바흐,고유명사,1
평균율 클라비어,고유명사,1
타협,일반명사,1
물결치,동사,1
맥놀이,고유명사,1
국립,일반명사,1
경주,고유명사,1
에밀레종,고유명사,1
녹음,일반명사,1
스피커,일반명사,1
몸체,일반명사,1
멎,동사,1
분배,일반명사,1
떠맡,동사,1
장식,일반명사,1
여행,일반명사,1
돌기둥,일반명사,1
궁궐,일반명사,1
전주,일반명사,1
내려앉,동사,1
골목,일반명사,1
응력,고유명사,1
늘어뜨리,동사,1
콘크리트,일반명사,1
얹히,동사,1
짓눌리,동사,1
빨리,동사,1
오쿨루스,고유명사,1
정수리,일반명사,1
목,일반명사,1
해방감,일반명사,1
반원,일반명사,1
공중부벽,일반명사,1
해방,일반명사,1
창,일반명사,1
스테인드글라스,일반명사,1
어깨,일반명사,1
매,일반명사,1
냄새,일반명사,1
대,동사,1
켜,동사,1
부석사,고유명사,1
무량수전,고유명사,1
배흘림기둥,일반명사,1
배흘림,일반명사,1
교정,일반명사,1
떠받치,동사,1
기대,동사,1
흘려보내,동사,1
석조,일반명사,1
열기,일반명사,1
막,동사,1
툇마루,일반명사,1
한지,일반명사,1
꽂히,동사,1
땀,일반명사,1
식히,동사,1
햇살,일반명사,1
물성,일반명사,1
잊히,동사,1
한구석,일반명사,1
문맥,일반명사,1
운반,일반명사,1
비약,일반명사,1
배반,일반명사,1
시조,일반명사,1
칠언,일반명사,1
절구,일반명사,1
소네트,일반명사,1
하이쿠,고유명사,1
음절,일반명사,1
정형시,일반명사,1
선택지,일반명사,1
벼리,동사,1
강남봉이구년,고유명사,1
음악가,일반명사,1
연주,일반명사,1
제국,일반명사,1
병들,동사,1
정시강남호풍경,고유명사,1
낙화시절우봉군,고유명사,1
슬프,형용사,1
건조,일반명사,1
반평생,일반명사,1
윤동주,고유명사,1
우러르,동사,1
부끄럼,일반명사,1
군더더기,일반명사,1
노이즈,일반명사,1
돌아보,동사,1
마당,일반명사,1
벙어리,일반명사,1
장갑,일반명사,1
사냥,일반명사,1
오리온,고유명사,1
몽둥이,일반명사,1
치켜들,동사,1
알데바란이,일반명사,1
타,동사,1
플레아데스,고유명사,1
영웅,일반명사,1
요정,일반명사,1
얼어붙,동사,1
추위,일반명사,1
가로놓이,동사,1
군집,일반명사,1
충만,일반명사,1
탐사선,일반명사,1
프랭크 드레이크,고유명사,1
식,일반명사,1
거느리,동사,1
출현,일반명사,1
페르미,고유명사,1
앞서가,동사,1
낭만,일반명사,1
알데바란의,고유명사,1
특성,일반명사,1
플레아데스,일반명사,1
산란,일반명사,1
알데바란,고유명사,1
벗겨지,동사,1
빚어지,동사,1
등줄기,일반명사,1
연필심,일반명사,1
영국,고유명사,1
고뇌,일반명사,1
반도체,일반명사,1
수분,일반명사,1
슬퍼하,동사,1
자동차,일반명사,1
엔진,일반명사,1
외로움,일반명사,1
낱개,일반명사,1
요소,일반명사,1
도움,일반명사,1
생체,일반명사,1
명분,일반명사,1
자문,일반명사,1
호기심,일반명사,1
경외감,일반명사,1
감동,일반명사,1
소화,일반명사,1
어기,동사,1
건너오,동사,1
지층,일반명사,1
묘지,일반명사,1
줌,일반명사,1
삼엽충,일반명사,1
암모나이트,고유명사,1
공룡,일반명사,1
비옥,일반명사,1
멸종,일반명사,1
위기,일반명사,1
꺼지,동사,1
화산재,일반명사,1
덮,동사,1
운석,일반명사,1
끈질기,형용사,1
경이,일반명사,1
독특,일반명사,1
노폐물,일반명사,1
권유,일반명사,1
감상,일반명사,1
구호,일반명사,1
그물망,일반명사,1
이산화탄소,일반명사,1
나르,동사,1
도미노,일반명사,1
바깥세상,일반명사,1
늦,형용사,1
냇가,일반명사,1
들추,동사,1
가재,일반명사,1
벌레,일반명사,1
소우주,일반명사,1
방비,일반명사,1
노출,일반명사,1
비결,일반명사,1
